GENE,KSP [1/hr],KDP [1/hr]
AACS,303.650000,0.004899
AAK1,155.690000,0.003558
AARS,300.600000,0.005142
AASDHPPT,177.950000,0.041857
ABCB1,188.840000,0.022967
ABCC1,4.970000,0.010482
ABCD3,148.270000,0.004809
ABHD12,163.660000,0.024304
ACACA,109.220000,0.006583
ACAD11,24.650000,0.010398
ACAD8,70.590000,0.004014
ACAD9,476.030000,0.003944
ACADSB,493.310000,0.005505
ACADVL,314.930000,0.010738
ACO1,261.970000,0.021825
ACOX1,125.890000,0.046333
ACP1,6768.930000,0.006404
ACP2,31.690000,0.011630
ACP6,95.180000,0.006855
ACSL3,69.320000,0.025787
ACSL4,146.280000,0.069733
ACSL5,44.110000,0.010261
ACY1,315.980000,0.003158
ACY3,195.310000,0.003996
ACYP2,45.280000,0.011984
ADH5,238.620000,0.002903
ADH7,202.460000,0.002541
ADI1,450.150000,0.030216
ADO,202.680000,0.017438
ADPGK,94.990000,0.004026
ADPRH,190.880000,0.008757
ADSL,562.440000,0.004997
ADSS,547.670000,0.010298
AGA,90.720000,0.002591
AGL,31.220000,0.051193
AGPAT1,20.030000,0.010115
AGPAT4,23.890000,0.028560
AGPS,132.150000,0.005690
AHCY,4414.950000,0.005349
AHCYL1,138.310000,0.023560
AHCYL2,67.260000,0.012943
AK1,477.620000,0.005613
AK2,518.420000,0.003510
AK4,714.520000,0.004268
AKR1A1,222.670000,0.007072
AKR7A2,353.320000,0.004829
AKT1,20.860000,0.024942
AKT2,9.150000,0.016836
ALAD,619.800000,0.004485
ALDH18A1,376.720000,0.006463
ALDH2,742.030000,0.009116
ALDH3A2,193.950000,0.005409
ALDH7A1,115.520000,0.004694
ALDH9A1,379.490000,0.002438
ALDOA,716.540000,0.006872
ALG13,738.620000,0.088299
ALG2,359.960000,0.009501
ALG3,19.600000,0.024372
ALG5,172.370000,0.012135
AMACR,485.730000,0.002503
AMFR,10.400000,0.113445
AMPD2,68.970000,0.012336
AMPD3,98.410000,0.009028
ANXA3,1299.170000,0.009253
APRT,410.990000,0.005189
ARAF,4.780000,0.013769
ARCN1,418.430000,0.011636
ARSA,249.980000,0.026696
ARSB,14.270000,0.002825
ASAH1,70.540000,0.005239
ASH1L,0.960000,0.063650
ASL,210.110000,0.001900
ASNS,472.280000,0.002925
ASPH,537.510000,0.008400
ASS1,830.700000,0.013653
ATE1,67.410000,0.011256
ATIC,767.440000,0.006734
ATM,28.200000,0.021695
ATP1A1,170.720000,0.034451
ATP1B3,219.710000,0.030019
ATP2B1,82.390000,0.008615
ATP6V0A1,11.440000,0.018613
ATP6V0A2,8.070000,0.006643
ATP6V0D1,394.960000,0.006943
ATP6V1A,545.520000,0.008972
ATP6V1B2,228.920000,0.002218
ATP6V1C1,336.320000,0.031840
ATP6V1D,328.800000,0.028223
ATP6V1E1,381.840000,0.021062
ATP6V1F,91.480000,0.032284
ATP6V1G1,246.930000,0.044893
