GENE,ENVISION
SLC4A10,0.992727
ALG8,0.984855
DSTYK,0.990043
SLC32A1,1.110110
MAT1A,0.635239
NMRK1,0.787877
FUT4,0.755054
MAP2K3,0.838181
RBBP6,0.785535
ATR,0.974868
DGKH,0.803902
COX6B2,0.816843
APOA1,0.846554
MTHFD2L,0.816149
ABCB1,0.737927
PLCH2,0.783665
C1GALT1,0.925432
SARDH,0.901221
TTN,0.608641
SLC8A3,0.942921
SIN3A,0.745842
PDHA2,0.741747
CTSL,0.922616
CDK6,0.891077
AMY2B,1.109280
PLCG2,1.011880
NEU4,0.861211
PDP2,0.477336
SSH2,0.829365
ACHE,0.774063
SRPK1,0.736240
RNF19A,0.849623
LRP2,0.822295
ADCY5,0.866475
LRP1,0.941144
ADCY1,0.836218
IMPA1,0.957542
PTPN13,0.615184
DLST,0.970291
PFKFB3,0.720931
ASNS,1.101880
PTPRJ,0.834575
PTPRD,0.781690
SLC5A11,0.970891
HECW2,0.765266
NSD1,0.977586
BCHE,0.680275
PTPRH,1.019000
SLC17A6,0.990061
CREBBP,0.749891
FUT8,0.815809
