GENE,ENVISION
TGM1,0.957069
TGM3,0.950756
SLC6A2,1.003550
GNPTAB,1.021860
HUWE1,0.981224
SETD1A,0.950968
POLR3E,0.830541
ARAF,0.854424
UQCRH,0.769945
L1CAM,0.825418
ASS1,0.930982
SLC25A12,0.900942
AXL,0.599719
DPYS,0.649725
UBA1,0.902040
SLC23A2,0.907666
HKDC1,0.962065
USP34,0.904885
PRODH2,0.997045
ACSM5,0.739954
NPC1,0.948505
INPP4A,0.790557
ATP2B4,1.022530
WNK3,0.947008
GLA,0.863240
TUT1,0.935345
SETDB1,0.791400
LSS,0.773759
ERBB2,0.985578
SLC38A1,0.952282
WNK2,0.921883
STRA6,0.757249
CTSC,0.786643
SLC25A6,0.900236
WNK4,0.750402
PASK,0.732916
PEX11A,0.885989
PIK3C2B,0.833230
FUT10,0.917714
SSH2,0.787596
GUSB,0.572888
FGFR4,0.727696
RNF19B,0.866140
USP35,0.983093
CTSV,0.953187
UBR4,0.775338
UBE4A,0.935412
ADCY7,0.910028
BRSK2,0.860028
SLCO1C1,0.857244
UCKL1,0.958971
ACSL3,0.808173
INPP5J,0.848620
SLC2A4,0.798855
MST1R,0.813389
KAT5,0.950662
PTPN14,0.869449
EHMT1,1.008152
BMPR2,0.670801
RNF8,0.916747
SPEG,0.768620
B4GALT1,1.011510
PTPRN2,0.815467
ALDH1L1,0.574986
HIRIP3,0.918096
DNMT3B,0.662019
UGCG,0.882584
ACSL1,0.976591
ATP2B3,0.973968
SLC43A2,0.926603
DSTYK,0.869986
BRSK1,0.841438
G6PC3,0.965091
POLR1A,0.871470
MED1,0.782115
FMO6P,0.828122
FAXDC2,0.872259
ABCD1,0.835871
MSRA,0.917683
SHPRH,0.778646
DPEP2,0.769342
KANSL3,0.829856
PLXNB3,0.643983
SLC11A2,1.001810
LRRK1,0.771581
MAN1A1,0.978459
CHD9,0.801500
LPIN3,0.903190
MBOAT1,0.815467
CPA1,0.637040
NT5E,0.952383
USP43,0.815421
PAM,0.901065
TPTE,1.006460
SLC5A10,0.847951
ITPKB,0.906122
JAK2,0.917446
TTN,0.537048
SLC35A2,0.856642
ABCB4,0.861463
HUNK,0.910769
GBA2,0.719329
ABCG2,0.970630
EPHB2,0.804693
PLCB1,0.864972
EPHB1,0.585031
SIRT7,0.778646
TICRR,0.777057
RET,0.842583
ACSF3,1.007030
CHUK,0.950965
MAN2A1,0.843846
PHKA2,0.879518
NCOA1,0.792232
SLC26A4,0.964415
GLDC,0.852173
SLC26A8,1.003260
PHEX,0.982522
POLA1,0.916086
LARS,0.798747
STK32B,0.786086
KDSR,0.915920
TAF1,0.887769
ABCA1,0.850120
MTHFD1L,0.995165
ACSM1,1.006410
POLE3,0.763152
HECW1,0.855516
GLB1L,0.766912
SLC18A2,0.872632
NEU3,0.980843
CREBBP,0.852551
SARS2,0.748651
MAP3K1,0.764378
ALAD,0.707308
RFWD3,0.959652
POLQ,0.856524
LIPT1,0.471676
EHMT2,0.777772
ATM,1.020820
NAMPT,0.853499
EPHA1,1.005840
NCOA2,0.698755
MBOAT2,0.979859
TNIK,0.803015
MKRN2,0.888824
ME1,0.719785
PPA2,0.482648
ABCB6,0.631212
CHIA,0.962309
NCOR1,0.914194
HMBS,0.865670
MTHFD2L,0.873231
ASPG,0.922447
CTPS1,0.979636
CDKL4,1.001370
SLC36A4,0.953045
CSF1R,0.970568
VARS2,0.763120
SLC6A19,0.969270
MARK1,0.860577
TRMT1,1.003820
ABCC11,0.900299
SGPP2,0.765919
SLC6A14,0.832994
TGFBR2,0.605533
HMGCS2,0.804917
ACACB,0.785076
STYXL1,0.986860
SLC13A3,0.841935
BIRC6,0.872911
LCT,0.970122
DYRK1A,0.718498
MAST2,0.604591
FES,0.811367
MERTK,0.774557
PHLPP2,0.900615
GLCE,0.943926
FADS3,0.901314
SRPK1,0.755919
RNF20,0.854005
DNMT3A,0.983194
LRP2,0.414557
LRP1,0.609184
ADH6,0.914481
EIF2AK4,0.853689
GGH,0.759429
TRPM6,0.782394
SI,1.021700
ATP1A4,0.858588
ATP1A2,0.807932
ATP1A1,0.784321
WWOX,0.838083
CDK9,0.891820
XYLB,0.769878
UBE3C,0.858410
NOX4,0.769009
B4GALNT4,0.719288
PPP2R1B,0.809620
COLGALT1,0.819676
CAMK1G,0.924419
USP1,0.939783
TRIB3,0.946720
EGFR,0.992880
USP6,0.875026
INSR,0.913092
MAP2K7,0.839152
SLC5A7,0.988077
UGT1A4,1.006640
LIPE,0.806621
ACAD10,0.691891
ALDH1A1,0.771146
AARS2,0.767245
SERPINA3,0.899688
LPIN2,0.979495
GRHL1,0.710540
LPIN1,0.738778
RGL1,1.015820
PDE1B,0.868284
GLYAT,0.932429
CDK16,0.869306
NSF,0.901001
CLOCK,0.820737
BRPF1,0.700344
PTPRD,0.863709
ZAP70,0.662391
TH,1.003100
SLC25A2,0.855075
ACOT11,0.865185
HSD17B2,1.002640
EYA1,0.852154
TNK2,1.010700
DAPK1,0.591465
EYA2,0.900329
CPT1A,0.853423
COPA,0.914981
ST3GAL5,0.726982
KMT2D,0.533193
PIGH,0.945438
ABCB1,0.622434
MGAT4B,0.791193
SDHA,0.788304
CES3,0.974198
AADAC,0.964798
CYP3A4,0.588176
DUSP15,0.792279
PIGZ,0.930758
SLC9A1,0.985884
SLC20A2,0.889153
PRKCI,0.699409
XPO7,0.743732
PPP1CA,0.597779
ABCC1,0.964953
MAP3K12,0.956472
STK3,0.884722
ABCC8,0.760298
BCKDHA,0.831558
ABCC4,1.005620
CYP11B2,0.960346
KAT6A,0.916491
AHCY,0.955269
MGAM,0.786557
SLC1A2,0.705163
