GENE,ENVISION
AOC2,0.966929
SLC32A1,0.861373
SLCO1B1,0.714314
SLCO1B3,0.916284
PRKCSH,0.939356
MAPK10,0.896980
ADCY10,0.944539
SLC5A8,0.990568
POLM,0.981785
LOX,0.930997
CARNS1,0.815381
MAP3K8,0.948136
UROC1,0.953356
CHD9,0.845584
PPM1K,0.992292
NPAS2,0.856204
RORA,1.000720
RNF133,0.823588
FASN,0.931208
TTN,0.418622
DGKG,0.822172
GLT8D2,0.956179
TRIO,0.869232
MAT2A,0.929924
CUBN,0.861377
ACSM2A,0.748671
USP13,1.034300
PADI2,0.851434
HMGCR,0.997735
PIGZ,0.853806
SBK1,0.881702
ADCY1,0.832571
PARP14,0.843223
ALOX15,0.597365
ERN2,0.917295
MAP3K10,0.967417
NDUFS2,0.966767
SREBF1,0.835373
GPX5,0.786853
BRAF,0.768553
PTPRO,0.933829
KAT6B,0.971951
PTPRK,0.812502
