GENE,ENVISION
PTGS2,0.756930
TGM6,0.924807
DUOX1,0.938262
BIRC6,0.838386
EPHA5,0.783330
UGT3A1,0.927084
SLCO1B1,0.928966
GALNT13,0.890058
ACACA,0.735825
USP24,0.821349
GAL3ST4,1.004000
NCOR1,0.786086
NEK6,0.907508
PTPRG,0.992583
ACER1,0.856788
PXDNL,0.889621
CDK12,0.922749
GRK7,0.830363
DAO,0.735261
ASPH,0.779469
MAOA,0.921390
EPHA7,0.769009
CKM,0.906333
SLC12A7,0.809928
SLC6A18,0.918309
TTN,1.084700
NPC1L1,0.813525
ATP6V0D1,0.939142
ACVR2A,0.791519
NOS2,0.904182
TRPM6,0.977392
AQP2,0.972170
FMO5,0.760864
F13B,1.009670
VNN1,0.987696
CA13,0.924944
SLC24A3,0.918805
CTSF,0.884299
GMPPB,0.980483
TPH1,0.977891
STK3,0.635912
PHGDH,0.917214
CYP3A7,0.783538
SHMT2,0.850032
TAOK3,0.776238
LRP1,0.927895
PNCK,0.906953
RPS6KA5,1.011660
CA3,0.615139
PTPN11,0.963922
SLC9A3,0.949061
NEU1,0.928970
PDK1,0.881426
AASS,0.723936
RHAG,0.679356
MARCH6,1.000230
SLC22A1,0.909112
STK36,0.865258
CLK2,0.807009
ALDH1L1,0.929635
TYR,0.981775
