GENE,ENVISION
TSSK1B,0.854592
HELZ2,0.923468
NDUFB9,0.973927
LYPLA2,0.930654
PLK2,1.000730
CDO1,0.900551
CHSY1,0.958442
ATP2B1,0.924915
AKT2,0.944412
OAT,0.866031
ATP8B1,0.988260
MYO5B,0.855992
USP26,0.936946
SLC30A6,0.861177
AXL,0.764378
SLC15A1,0.864884
FKBP10,0.731311
AOC3,1.001800
AHCYL2,0.865258
ACOT2,0.642292
PIK3CB,0.860577
USP9Y,0.849290
MAP3K7,1.014230
SLC12A5,0.846404
PIK3R4,0.886972
SLC12A1,0.783240
ATP6V0D2,1.013730
CTSW,0.993467
OTUD5,0.914190
PIP4K2B,0.960381
LSS,0.831312
AQP4,0.916785
PRKAG2,0.598345
GUCY2D,0.900044
FNTA,0.816312
ERBB4,0.841722
PDPR,0.691390
WNK2,0.930328
SLC2A13,0.709904
CTSB,0.707426
JAK1,0.872538
XYLT2,1.017670
AGXT2,0.836121
XYLT1,1.122090
PHGDH,0.637915
SSH1,1.015910
GPT,0.734385
CYP4X1,1.015610
USP34,0.982245
FGFR3,0.903872
UBR5,0.876776
GMPS,0.763250
FUT10,0.797677
LMTK3,0.932234
DZIP3,0.762629
PTPN13,0.642024
SLC2A5,0.815467
HYAL3,1.002080
WNK1,0.782152
SETD1B,0.883960
SPEG,0.881095
B4GALT6,0.873835
PARP14,0.846794
PXDN,0.888508
CYB5R2,0.969010
SLC7A8,0.875300
DUOX1,0.832219
UGT3A1,0.993172
SLC7A2,1.000560
ATP6V1H,0.900102
AKR1A1,0.818478
APOA5,1.003210
SHPRH,0.876519
FUK,0.625046
GDPD2,1.012380
FKBP14,0.849578
USP49,0.823189
UROC1,0.885215
UBE3B,0.848958
PPM1M,0.769387
ABCA4,0.754377
NOS3,0.905459
NEK9,0.755919
PC,0.855821
EXTL3,0.972138
GUCY1A2,0.845571
TTN,0.486168
SLC35A3,0.967545
GBA2,0.777880
ABCA3,0.960425
SIRT3,0.936342
PLCB1,0.985385
ACVRL1,0.818389
DPYSL2,0.834717
DPYSL3,0.787101
EPHB4,0.733104
CDC25A,0.842640
PHKA1,0.742124
MAN2A1,0.983886
RNF40,0.584580
UBA6,0.915430
DLAT,0.728907
BLK,0.978305
ACLY,0.797188
SLC26A8,0.946514
CHDH,0.874069
ACO2,0.615881
PTPN7,0.689198
PTPN6,0.981344
PTPN5,0.646401
PTPN4,0.854838
LCT,0.893912
UBE2M,0.961433
LRRK1,0.909046
CYP8B1,1.006440
B3GNT3,1.044660
ATP6V0A4,0.953497
CAMKK2,0.897993
ATP10A,0.915222
SLC22A7,0.813394
ELOVL2,1.008690
HECW1,0.843373
STK36,0.755898
MYBBP1A,0.989514
STK39,0.874239
CLK3,0.793803
GUCA1A,0.923242
PRKCD,0.687899
CREBBP,0.915656
ALAD,0.928418
KARS,0.719785
ACOT1,0.636503
EPHA5,1.000600
EPHA3,0.996956
EPHA1,0.855172
PTPN3,0.988195
SLC4A7,0.718768
PRKCSH,0.876448
SMPD3,0.844105
SLC26A9,0.755901
FLT4,0.980145
RAF1,0.967563
GAD1,0.720366
HMBS,1.000570
POLD1,0.876192
BMP2K,0.816453
PIK3R2,0.981528
SDR9C7,0.987617
HYI,0.835842
CIDEA,1.006730
CTDSP2,0.819676
DAGLA,0.932058
DAGLB,0.886502
ACACA,0.706917
ACACB,0.984231
MTHFR,0.970576
ACSS2,1.005830
MYLK3,0.758012
CLC,0.915390
MAST2,0.803720
ENO3,0.466693
ACHE,0.890934
ALG12,0.981440
SLC27A1,0.987889
TAOK2,0.599726
ATP4A,0.778947
CYP2F1,0.924909
ALK,0.766502
SLC5A1,1.000650
TPTE2,1.015210
SUCLA2,0.864855
PLCG1,0.971579
AK5,0.711191
SLC22A11,0.847182
TTC3,0.786093
CTGF,0.919301
ATP1A4,0.670999
HSPG2,0.984276
AGPAT2,0.786567
XYLB,0.893792
NPC1L1,0.782394
RNF146,0.975316
POLA2,0.769387
BIRC6,0.854601
LIMK1,0.980195
LATS2,0.769503
RIPK3,0.890230
SLCO3A1,0.777772
MAP2K7,0.787101
RIPK4,0.865978
MLKL,1.011910
CIT,0.860542
TRMU,0.944732
UGT1A6,1.020750
PNLIPRP1,0.793888
DPYD,0.761279
MAPKAPK3,0.945761
PLOD1,0.703320
UHMK1,0.900240
HSD17B8,0.869306
BRPF1,0.944096
DUOX2,0.993339
WNK3,0.918393
EYA4,0.869045
KMT2B,0.770592
PIGB,0.978938
DNMT3A,0.832580
LIAS,0.826829
MAT2B,0.923280
CUBN,0.912722
PDIA6,0.973019
CYP4V2,1.018870
CA14,0.954628
SLC24A3,0.817480
PIGO,0.938508
PIGT,0.926953
PADI4,0.841767
TMX3,0.835278
PTPRS,0.810780
ALDOC,0.836452
USP48,0.766123
PTPRU,0.793563
CHST12,0.795881
BPNT1,0.955921
DPH5,0.908435
RHCG,0.834645
OGT,0.944937
LDLR,0.796750
ROCK2,0.804476
PSAT1,0.728546
PTPRF,0.858065
GATM,0.755233
CYP2C19,0.673662
ALOX15B,0.989354
CYP11B1,0.953643
GLDC,0.731771
