GENE,ENVISION
POLG2,0.711865
HIPK2,0.869306
PPWD1,0.845513
ALG13,0.956024
SMG1,0.750327
OARD1,0.938331
CAMK4,0.599259
B3GALTL,0.834830
IRAK3,1.008400
B3GALT1,0.692642
PTGR1,0.999186
CAMK2B,0.808971
LRP1,0.861416
GALNT12,0.985595
CYP4X1,0.809279
CNDP1,0.801517
UBE4A,0.747488
UCKL1,0.923439
PARP14,0.882295
PARP15,1.016480
ACE2,1.001707
MYO3A,0.810246
HSD17B11,0.874913
HACL1,0.840245
FKBP3,0.781677
POLR1B,0.854672
TPK1,0.744812
RWDD2A,0.829282
XPO7,0.811640
TTN,0.082432
GGTLC1,0.821010
CHST3,1.000400
CSGALNACT2,0.823138
TYRO3,0.766445
MTHFD1L,0.833656
SLC18A2,1.007730
SLC22A9,0.684999
OTUD5,0.812159
MIB1,0.828554
MKRN3,0.854500
MKRN2,0.780636
POLK,0.793987
SLC4A8,0.964212
NCOA2,0.821723
NCOA3,0.765266
SLC36A4,0.909995
ART5,0.908437
ENOPH1,0.853457
PLCL2,0.880908
MYLK3,0.845223
PLCL1,0.861546
NOL9,1.017200
RNF25,0.846444
SLC27A6,0.950947
SLC27A1,0.942789
SRPK3,0.913845
RIOK1,0.889886
SLC17A6,0.801342
USP9X,0.741391
MDH1B,0.917038
ATP1A4,0.915763
CMTR1,1.010200
CCBL1,0.803806
PRKD1,0.800787
B4GALNT2,1.017380
HS2ST1,0.562512
DPYD,0.779445
CDK12,0.792561
CDK13,0.852135
CDK15,0.797826
DPYS,0.908353
WNK3,0.913995
ZNF645,0.796150
PTPN23,0.860192
SLC24A2,0.958327
GANC,0.944018
YARS2,0.766668
ACSM2B,0.754113
PLB1,0.743696
BAAT,0.944711
MLK4,0.658776
PDE1C,0.905129
FUT2,0.990165
FUCA2,0.967970
PPP2R3A,0.849706
UPRT,0.980115
AGXT2,0.843120
MARCH7,0.981841
MARCH1,0.917791
SLC25A19,0.826217
SLC25A18,0.754230
USP26,0.789664
SLC25A15,0.967166
SLC25A13,0.820829
USP32,0.719785
B3GNT5,1.022710
PIK3C3,0.816712
SETD5,0.864951
SLC12A5,0.913405
SLC12A6,0.872595
SLC12A1,1.018430
NDUFA12,0.730660
LIPE,0.925412
XYLT1,0.822444
SSH2,0.985105
CHFR,0.834352
TESK2,0.764288
PLD1,0.877880
SLC41A2,0.966195
MTRR,0.870778
PAK7,0.698675
ALG6,0.911194
RNF180,0.946284
TRIB3,0.891825
PINK1,0.888592
SHPRH,0.978559
NEK5,0.950499
NEK1,0.772414
UXS1,0.907381
NEK9,0.854960
FIG4,0.877576
PLCH1,0.681884
CDC42BPA,0.768957
CDC42BPB,0.973044
TNKS2,0.856565
TXNRD1,0.704307
ITPK1,0.915571
NUDT9,0.898084
UBE2E3,0.869045
AGMAT,0.770322
GALNT1,0.868632
GALNT3,0.765266
LARS,0.974308
ATP6V0A1,0.962570
ATP6V0A2,1.012490
CLK4,0.866679
CREBBP,0.854264
HSD17B12,0.859659
ATM,0.747731
OXSM,0.818796
DSTYK,0.831316
MAPK6,0.967755
FANCL,0.921935
GPCPD1,0.853689
LRSAM1,0.804185
GMPPB,0.868130
NUDT12,0.977820
NUDT10,0.868567
MERTK,0.770409
PDF,0.648336
TRIT1,1.015010
ACOX1,0.895095
SLC22A13,0.930425
GDPD2,0.827243
SLC4A10,0.802168
PTK2,0.817601
DDO,0.872150
USP3,0.868325
USP7,0.859284
EZH2,0.803613
SLC5A7,0.970144
SLC5A8,1.028680
PNLIPRP3,1.010860
ASAH2,0.865923
RGL1,0.777129
OLAH,0.993639
PFKP,0.915358
TECRL,0.639221
NANP,0.769387
RNF19A,0.589000
MGAT2,0.955846
SLK,0.837866
PAPOLG,0.841650
DHCR24,0.965661
CHST11,0.880239
DPH5,0.767533
ROCK1,0.919845
AZIN2,1.004700
KAT6B,0.846128
KAT6A,0.855075
MUL1,0.966971
FKBP10,0.956154
GNPTAB,0.886790
PPIL4,0.991044
MAP3K9,0.722353
PPP1R3A,0.876154
MAP3K2,0.843641
PRODH2,0.928878
MAP3K4,0.817533
SETDB2,0.788392
HUWE1,0.784433
ERBB4,0.952357
VRK2,0.798496
WNK2,0.854763
NARS2,0.780794
WNK1,0.855682
WNK4,0.841376
PJA1,0.974308
SLC15A2,0.811874
USP31,0.781829
ACOT4,0.714713
SETD2,0.538351
USP34,0.671531
USP37,0.895781
PCYT1B,0.750262
DZIP3,0.863197
ADCY2,0.728117
PTPN13,0.938212
PTPN11,0.653451
MYLK,0.886010
ETNPPL,0.867340
SPEG,0.809125
ACSBG2,1.094980
USP25,0.904357
CYP4Z1,0.782885
SLC9A7,0.861376
USP45,0.770560
USP47,0.862933
GK2,0.982283
USP40,0.970953
USP42,0.718261
TIAM2,0.910854
RNF133,0.947992
RNF138,0.974949
RNF139,0.983468
TRPM6,0.809517
PLCB1,0.780170
PLCB2,0.757477
PLCB4,0.847980
PARP9,0.889142
CDK11A,0.938467
MAN2A1,0.904406
HERC1,0.851244
PDP1,0.812667
HERC3,0.767072
UBA2,0.559540
UBA3,0.841650
PAPD4,0.725464
RPUSD4,0.765492
DDR2,0.815953
STK31,0.791852
TIPARP,0.622036
HERC4,0.765568
MSMO1,0.874542
TNIK,0.800646
PLCE1,0.885425
TP53RK,0.738004
BCO1,1.023290
HACE1,0.852204
CTPS2,0.980750
RHBG,0.914475
PDE3A,0.971056
BMP2K,0.692250
PDE3B,0.772227
PPIAL4A,0.914417
SLC6A13,0.914496
GRK1,0.924996
UGGT2,0.889447
ACSS2,0.961972
PLA2G2E,0.959889
LRP2,0.640257
NNT,0.841650
SGK3,0.929994
TBL1XR1,0.937454
EIF2AK1,0.644614
RPS6KC1,0.757195
PPID,0.753212
POLR3B,0.963094
OCRL,0.978430
AOX1,0.779305
MAP4K3,0.812130
CAMK1D,0.840489
BIRC6,0.963283
SLCO1B1,0.676289
GAL3ST1,0.908488
SLCO1B3,0.759026
ATP11C,0.897641
MOXD1,0.859914
RCHY1,0.982316
GCNT4,0.834381
NPAS2,0.855516
LPCAT2,0.803819
GBE1,0.447486
EYA1,0.962512
EYA3,0.789861
KMT2C,0.935732
KMT2B,0.843737
KMT2A,0.646564
KMT2E,0.971531
PKN2,0.772039
SLCO2A1,0.910301
PIGV,0.757195
EPHA10,0.856485
PDK1,0.771190
ABCC8,0.841449
HAO1,0.861329
HAO2,0.767521
COQ6,0.998881
ABCC2,0.869447
AKT3,0.893921
FAAH2,0.805609
UPB1,1.011530
UGP2,0.855073
AHCYL2,0.711708
CYBRD1,0.933515
PDE7A,0.608945
UBR4,1.000620
SLCO3A1,0.844609
TRHDE,0.918424
CSNK1G2,0.893340
QTRT1,0.835825
UBR3,0.767635
UBR2,0.796533
PRKDC,0.905203
ABHD5,1.026680
PNCK,0.751524
POLE,0.817832
ACSL5,0.951672
PXDN,1.008240
SLC7A8,1.019030
SLC7A9,0.877585
TRIM33,0.859131
PLXNB3,0.983850
A4GALT,0.941681
AMN,0.972016
SLC5A11,0.942427
GBA2,0.851330
PTPRN2,0.761525
SIRT1,0.843373
SLC14A1,1.002030
PIKFYVE,0.827489
TLK1,0.820824
ABCG8,0.964064
PADI3,0.914161
PDZD4,0.919270
HECW1,0.834879
HECW2,0.864858
POMT1,0.819932
POMT2,0.834232
RNF123,0.928320
EPHA7,0.864999
RBKS,0.795488
CES5A,0.903233
SACM1L,0.660200
SLC13A1,0.976375
ATP8A1,0.848229
TGS1,0.963843
NMNAT3,0.720739
PHLPP2,0.990468
TNNI3K,0.822213
THNSL1,0.901793
B3GALNT2,0.812783
TPTE2,0.737810
PFKFB4,0.909021
RIPK1,0.851568
GRHL1,0.580707
PRPF19,0.800646
DGKD,0.764066
PDIA6,0.875026
HEPH,0.745349
RNF167,0.912964
PTPRH,0.816860
