GENE,ENVISION
SLC6A7,0.752310
DHCR7,0.925236
SETD1B,0.894689
TKTL2,0.950421
MAP3K1,0.786678
DHRS2,1.007460
WHSC1L1,0.869830
ROR2,0.783320
SLC12A7,0.819605
AMPD2,0.770409
DYRK1A,0.803613
ENTPD4,0.982694
SLC22A7,0.823496
WNK2,0.718762
CAMK2G,0.633013
UBE2R2,0.897280
PASK,0.825709
PIK3C3,0.947982
IP6K2,0.958182
NME7,0.730682
ADCY2,0.810619
INPP5J,0.787373
STARD3,0.907129
PXDN,0.840572
MAPK11,0.700919
ITPK1,0.910864
SLC7A7,1.016790
POLR1B,0.685998
SLC22A11,0.941910
DPYSL3,0.766123
SLC9A7,0.763152
PANK4,0.744467
USP44,1.022860
CYP26B1,0.934146
CDC42BPG,0.911826
TTN,0.690789
SLC35A3,0.993224
TRPM6,0.924018
PTPRN2,1.062200
TICRR,0.945552
PARP6,0.846134
CDK11A,1.022380
ACE2,0.967817
CHST2,0.740871
MCCC1,1.019980
HACD3,0.783926
SDSL,0.941260
ELOVL6,0.970796
CAMKK2,0.815847
SLC22A6,0.946992
SARDH,0.937250
HECW1,0.843373
SLC22A8,0.943684
ECHDC2,0.946264
CREBBP,0.769305
RPE65,0.706017
ATM,0.869592
SLC4A7,0.785509
MAP3K4,0.996491
NCOA3,0.949206
CYP1B1,0.576807
DUSP6,0.738885
DAGLA,0.798530
SLC13A1,0.936595
FRMPD2,0.856018
MVK,0.932861
TAOK2,0.773907
GALNT14,0.864902
LRP1,0.940449
TBL1XR1,0.998475
GALNT10,0.984833
CTDSPL2,0.754574
ACOX2,1.016850
KL,0.844952
CDK3,0.968318
OXCT2,0.812680
MAP4K1,0.845432
CHPF2,0.838793
ELOVL5,0.993006
ACSS2,0.813748
PIP5KL1,0.816453
DGKD,0.920607
ULK3,0.817740
UXS1,0.850983
PKN3,0.798215
GGT7,0.894985
PADI6,1.012770
ACMSD,0.947504
LRRK1,0.856204
PTPRS,0.782312
MAP3K11,0.755036
A4GALT,1.004320
PTPRH,0.857589
