GENE,ENVISION
PTK7,0.977131
HSPG2,0.980530
AGXT2,0.779951
PGLYRP3,0.828894
LRRK1,0.856879
POLE,0.786086
DARS2,0.836958
UGT1A8,0.997497
NEK8,1.011290
ABAT,0.815314
ACAD11,0.944171
USP20,0.986328
EHMT1,1.010990
SLC9A5,0.845843
CHIA,0.985426
UROC1,0.875073
CHD9,0.901971
SLC36A1,0.982529
TTN,0.728600
TRPM6,0.921961
RNF31,0.776120
DGKD,0.960240
CDC42BPA,0.708974
MARK1,0.935587
PIGB,0.949316
DNMT3A,0.801714
EXT2,0.819863
PEAK1,0.812735
SLC13A3,0.984282
HEPH,0.983597
TRIM63,0.859726
ALG14,0.757477
NT5DC3,0.977068
MCCC1,1.013970
UBR4,0.861177
LRP2,0.778972
PTPRS,0.876304
PGLYRP2,0.810259
AK7,0.966741
PPIL2,0.719785
ABCA3,0.936920
HECW2,0.909034
SPEG,0.772575
