GENE,ENVISION
COLGALT2,0.849706
USP17L2,0.887162
PI4KB,0.976164
TGM7,1.002120
PRKDC,1.003480
RIPK1,0.984393
MARCH7,0.998504
MED1,0.891577
ATR,0.924644
POLR3C,0.928450
SLC5A9,0.892458
USP24,0.981590
EHMT1,0.991428
PANK4,0.841766
NCOA1,0.944207
SMG1,0.900419
USP48,0.895156
GRK7,0.981891
TKTL2,0.917593
MIB1,0.937900
DGKH,0.976975
TTN,0.805611
COPG1,0.972614
SLC6A13,0.870711
GBA2,0.752854
SLC26A11,0.971726
ENTPD4,0.992006
PADI1,0.982222
PTPRO,0.896528
MAST2,0.805124
GPAM,0.976395
PADI4,0.939383
PIGZ,0.973919
SETD2,0.914094
GALNT2,0.540306
DUSP12,0.805397
HIPK3,0.915799
RPS6KA6,0.979676
CHST8,1.072370
HIPK1,0.857184
CAMKK1,0.978450
HECW1,0.857463
CYP4F8,0.852512
MAP3K3,0.955025
PPIG,0.753821
ADHFE1,0.767475
