GENE,ENVISION
ATP2B3,0.871083
B4GALNT1,0.844799
PLCE1,0.856646
HUWE1,0.866449
PLCB3,0.787754
PRKDC,0.901551
EZH2,0.920776
ATR,0.919415
USP28,0.833194
SLC5A9,0.962297
POLM,0.979871
SLC4A8,0.791429
POLH,0.875651
PHEX,1.028040
ULK4,0.762494
CHD9,0.864201
CDKL4,0.924026
MASTL,0.894839
CDK17,0.957711
SLC12A1,0.832400
NT5C1B,0.812042
ZSWIM2,0.847718
TECRL,0.966642
TRPM6,0.844813
DUSP27,0.981899
EYA1,0.974449
KMT2B,0.927842
DAGLB,0.963867
SLC38A3,0.764308
SLC25A3,1.007490
LPCAT1,0.960557
LRP1,0.874009
TRPM7,0.858410
KAT6B,0.822717
FADS3,0.915992
EP300,0.870568
SLC27A1,0.868594
TAOK2,0.873809
FUT10,0.802348
DZIP3,0.825400
FAM65A,0.793377
SLC17A4,1.016480
PON3,0.847852
SLC23A2,0.981369
HECW1,0.973416
UGT2B28,0.986263
PXDN,0.843373
