GENE,ENVISION
PGM2L1,0.977937
SGK223,1.013480
UBE2D4,0.869045
ATM,0.908386
PRKDC,0.982347
SETD1B,0.886796
SLC29A2,0.790145
USP28,0.784150
SLC5A5,0.973241
CHKB,0.800518
STUB1,0.838368
SLC27A1,0.862928
USP43,0.862622
PFKP,0.964806
FHL2,0.817740
PARP4,0.915712
TTN,0.975889
COPG1,0.867412
SETDB1,0.879359
DPYSL2,0.931422
MTR,0.484473
NDUFA9,0.900255
NUDT12,0.865923
ATP6V1C2,0.986344
PHEX,0.953673
CHST5,0.865900
UHRF1,0.973894
USP36,0.975603
SLC20A2,0.855513
UBE4A,0.795648
TECR,0.954974
PTPN11,0.867880
CHD9,0.909351
MIOX,0.769810
CYLD,0.927756
HECW1,0.770409
RDH13,0.873259
CTBP1,0.921707
PDE4B,0.726604
NOX4,0.956724
