GENE,ENVISION
PTK7,0.839207
UGT3A2,1.009460
AMPD2,0.869232
SLC2A11,0.735261
SLC4A4,0.861687
LIPE,0.787012
SAP130,0.869221
RNF31,0.901335
SLC9A2,0.997960
CDK13,0.955295
GK2,0.906689
CPA6,0.844685
NPAS2,0.890297
SLC12A4,0.854136
TTN,0.646834
SLC38A1,0.984094
SLC14A2,0.769387
TRHDE,0.802663
ATP8A1,0.972217
PIGQ,0.868007
ALDH6A1,0.813133
GUK1,0.919761
HAO1,0.780152
CHFR,0.920587
ST6GALNAC3,0.762473
LRP2,0.853806
RPS6KA2,0.774915
LRP1,0.973496
ASAH2,0.902009
INPP5F,0.872262
ABCG8,0.959423
SLC3A1,0.845219
SMARCD3,0.985720
RNF216,0.861387
