GENE,ENVISION
GNPTAB,0.946996
MAN1B1,0.993847
P4HA3,0.863278
PPIL4,0.767072
NEK8,0.969315
PLIN4,1.021100
TIAM2,0.651220
NTRK2,0.975928
GRK1,0.825836
SLC12A5,0.955125
SPTLC3,0.919293
DMPK,0.813766
SETDB1,0.931755
VRK2,0.912954
CYP2A13,0.937541
CAMK2A,0.815250
PASK,0.850634
USP38,0.743286
SSH2,0.901626
HELZ2,0.941763
UBR3,0.805529
UBR2,0.861230
INPP5E,0.705224
FUT11,0.976399
ADCY1,0.898681
PTPN13,0.852577
PARP14,0.811543
RNF180,0.996343
ATP8B2,0.857831
RHAG,0.618539
BMPR2,0.953001
SLC46A1,1.002340
PXDN,0.895424
NSDHL,0.960834
TRIM33,0.786678
TRIM32,0.936213
DUOX2,0.924534
POLR1B,0.910936
PINK1,0.838945
DPEP2,0.844100
IARS2,0.862396
USP48,0.893997
USP43,0.801451
USP42,0.842189
PNPLA2,0.964254
PDPR,0.912580
TTN,0.553576
NLN,0.857244
PTPRN2,0.758687
ACSF3,0.817704
UBE2E2,0.778551
CHST3,0.820291
ABCG5,0.958733
POMGNT1,1.015160
GALNT6,0.867929
POMT1,0.992474
GFPT1,0.862469
EPHA7,0.766123
AMPD2,0.341726
PLCE1,0.662029
POLM,0.777805
GAD1,0.851672
COASY,0.585788
DUSP9,1.021600
SLC8A2,0.770409
ZC3HAV1,1.010130
CA5B,0.959058
PTPRU,0.854838
UAP1L1,0.851697
SLC27A5,1.024990
SULT4A1,0.919339
LRP2,0.708322
SLC23A1,0.997437
HS3ST2,0.764921
GNE,1.011710
PIN1,0.897756
PTPN23,0.787213
LOXL2,0.785424
CDK10,1.002600
SLC25A3,0.970521
DNMT3A,0.787424
PIGK,0.947220
SLC24A2,1.042460
PRKCQ,1.011740
PLA2G4F,0.784224
SLC20A2,0.811898
CA9,0.894633
PTPRS,0.786678
RHCG,0.949238
MGAT4C,0.941793
